term_str,stem,n,rank,p,i,stop,max_pos,n_pos,cat_pos,df,idf,tfidf_mean,tfidf_sum,dfidf,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,nrc_sentiment,syu_sentiment
peace,peac,299,503,0.00020129637558806817,12.278391183287187,0,NN,5,"{'NNP', 'NN', 'VBP', 'VB', 'JJ'}",141,1.7430916969630477,0.0003161211923259106,0.1492092027778298,245.77592927178972,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.75
saved,save,296,508,0.00019927667951193372,12.292939491856343,0,VBN,6,"{'NNP', 'NN', 'VBN', 'VBD', 'VBP', 'JJ'}",116,2.024662054234269,0.00041900768029862575,0.19777162510095136,234.86079829117517,,,,,,,,,,,,0.8
died,die,294,515,0.0001979302154611774,12.302720512648929,0,VBD,3,"{'VBN', 'JJ', 'VBD'}",150,1.6538243588659602,0.0003564300631670049,0.16823498981482632,248.07365382989403,,,,,,,,,,,,-0.5
wish,wish,293,516,0.00019725698343579925,12.307636003063044,0,VBP,6,"{'NNP', 'NN', 'VBD', 'VBP', 'VB', 'JJ'}",181,1.382797162278636,0.00031643104287900514,0.14935545223889043,250.2862863724331,,,,,,,,,,,,0.8
fire,fire,288,523,0.00019389082330890846,12.33246785604298,0,NN,5,"{'NNP', 'NN', 'VBN', 'VBP', 'VB'}",137,1.7846109664013146,0.000401020711534547,0.1892817758443062,244.4917023969801,,,,,,,,,,,,-0.25
reason,reason,287,525,0.00019321759128353033,12.337485930809605,0,NN,2,"{'NNP', 'NN'}",151,1.6442383100367624,0.0002702514349526804,0.12755867729766515,248.2799848155511,,,,,,,,,,,,0.6
blessed,bless,283,531,0.0001905246631820177,12.35773461465341,0,VBN,4,"{'VBN', 'NNP', 'JJ', 'VBD'}",127,1.8939583625896754,0.0003679533354465093,0.17367397433075238,240.53271204888878,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
finally,final,273,542,0.00018379234292823616,12.40963571656544,0,RB,2,"{'RB', 'NNP'}",148,1.6731896837328915,0.00033411915526714367,0.1577042412860918,247.63207319246794,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.4
fell,fell,273,542,0.00018379234292823616,12.40963571656544,0,VBD,2,"{'NNP', 'VBD'}",150,1.6538243588659602,0.0003057617113060845,0.1443195277364719,248.07365382989403,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,-0.5
fear,fear,272,544,0.000183119110902858,12.414930016234953,0,NN,5,"{'NNP', 'NN', 'VBP', 'VB', 'JJ'}",153,1.6252552066691897,0.0003022159845695992,0.14264594471685083,248.66404662038602,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,-0.75
fine,fine,269,546,0.00018109941482672353,12.430930494928669,0,JJ,4,"{'NNP', 'JJ', 'VB', 'NN'}",150,1.6538243588659602,0.0003057020770804446,0.14429138038196984,248.07365382989403,,,,,,,,,,,,0.25
blessing,bless,268,547,0.00018042618280134537,12.43630366702752,0,NN,3,"{'NNP', 'VBG', 'NN'}",108,2.1277555471983725,0.000330837552511803,0.15615532478557104,229.7975990974242,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.75
pastor,pastor,266,553,0.0001790797187505891,12.447110421984103,0,NN,2,"{'NNP', 'NN'}",89,2.4069096183954435,0.0004084951802760072,0.1928097250902754,214.21495603719447,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,
pleasant,pleasant,265,554,0.00017840648672521093,12.45254430803473,0,JJ,5,"{'NNP', 'NN', 'VBP', 'VB', 'JJ'}",141,1.7430916969630477,0.0002749755528486733,0.1297884609445738,245.77592927178972,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
building,build,264,556,0.00017773325469983277,12.45799873812684,0,NN,3,"{'NNP', 'VBG', 'NN'}",100,2.2387868595871163,0.00040924172450142,0.19316209396467024,223.87868595871163,,,,,,,,,,,,0.1
success,success,263,560,0.00017706002267445461,12.46347386819299,0,NN,2,"{'NNP', 'NN'}",138,1.7741185925836722,0.00029345876393700585,0.13851253657826676,244.82836577654678,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.75
tears,tear,263,560,0.00017706002267445461,12.46347386819299,0,NNS,3,"{'NNS', 'NNP', 'VB'}",143,1.7227717125834519,0.0003426179110254761,0.16171565400402474,246.35635489943363,,,,,,,,,,,,-0.8
trouble,troubl,262,562,0.00017638679064907646,12.468969855947842,0,NN,2,"{'NNP', 'NN'}",157,1.5880223004702143,0.00027793372972980475,0.13118472043246784,249.31950117382365,,,,,,,,,,,,-0.5
forget,forget,261,564,0.0001757135586236983,12.474486860915407,0,VB,4,"{'VBP', 'NNP', 'VB', 'NN'}",145,1.7027339593469066,0.0002897606977027462,0.1367670493156962,246.89642410530146,,,,,,,,,,,,-0.5
attention,attent,259,565,0.00017436709457294199,12.485584569798739,0,NN,1,{'NN'},148,1.6731896837328915,0.0002853926280926324,0.1347053204597225,247.63207319246794,,,,,,,,,,,,0.25
pleasure,pleasur,258,567,0.00017369386254756386,12.491165602062038,0,NN,3,"{'VBN', 'JJ', 'NN'}",143,1.7227717125834519,0.00032227206923861286,0.15211241668062528,246.35635489943363,,,,,,,,,,,,0.5
dead,dead,256,571,0.00017234739849680754,12.502392857485292,0,JJ,5,"{'NNP', 'NN', 'VBD', 'VBP', 'JJ'}",138,1.7741185925836722,0.00032047143822193206,0.15126251884075192,244.82836577654678,,,,,,,,,,,,-1.0
deal,deal,252,583,0.0001696544703952949,12.525112933985376,0,NN,3,"{'VBP', 'VB', 'NN'}",155,1.6065186440876036,0.00025864731341708453,0.12208153193286389,249.01038983357856,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.25
